id,fuel,passengers,planesAtThatTime,priority,timeToArrive,timeWaited
SingapureAirlines2,26.0,40,0,0,10,0
SingapureAirlines2,25.0,40,1,0,9,0
SingapureAirlines2,24.0,40,2,0,8,0
SingapureAirlines2,23.0,40,2,0,7,0
SingapureAirlines2,22.0,40,3,0,6,0
SingapureAirlines2,21.0,40,3,0,5,0
SingapureAirlines2,20.0,40,3,0,4,0
SingapureAirlines2,19.0,40,3,0,3,0
SingapureAirlines2,18.0,40,6,0,2,0
SingapureAirlines2,17.0,40,7,0,1,0
SingapureAirlines2,16.0,40,8,0,0,0
Luftansa2,27.0,40,1,1,10,0
Luftansa2,26.0,40,2,1,9,0
Luftansa2,25.0,40,2,1,8,0
Luftansa2,24.0,40,3,1,7,0
Luftansa2,23.0,40,3,1,6,0
Luftansa2,22.0,40,3,1,5,0
Luftansa2,21.0,40,3,1,4,0
Luftansa2,20.0,40,6,1,3,0
Luftansa2,19.0,40,8,1,2,0
Luftansa2,18.0,40,7,1,1,0
Luftansa2,17.0,40,8,1,0,0
Ryanair2,34.0,40,2,4,10,0
Ryanair2,33.0,40,3,4,9,0
Ryanair2,32.0,40,3,4,8,0
Ryanair2,31.0,40,3,4,7,0
Ryanair2,30.0,40,3,4,6,0
Ryanair2,29.0,40,7,4,5,0
Ryanair2,28.0,40,8,4,4,0
Ryanair2,27.0,40,7,4,3,0
Ryanair2,26.0,40,8,4,2,0
Ryanair2,25.0,40,8,4,1,0
Ryanair2,24.0,40,8,4,0,0
QatarAirways3,29.0,40,3,0,10,0
QatarAirways3,28.0,40,7,0,9,0
QatarAirways3,27.0,40,8,0,8,0
QatarAirways3,26.0,40,7,0,7,0
QatarAirways3,25.0,40,8,0,6,0
QatarAirways3,24.0,40,8,0,5,0
QatarAirways3,23.0,40,8,0,4,0
QatarAirways3,22.0,40,9,0,3,0
QatarAirways3,21.0,40,13,0,2,0
QatarAirways3,20.0,40,13,0,1,0
QatarAirways3,19.0,40,14,0,0,0
QatarAirways2,22.0,40,4,0,10,0
QatarAirways2,21.0,40,7,0,9,0
QatarAirways2,20.0,40,8,0,8,0
QatarAirways2,19.0,40,7,0,7,0
QatarAirways2,18.0,40,8,0,6,0
QatarAirways2,17.0,40,8,0,5,0
QatarAirways2,16.0,40,8,0,4,0
QatarAirways2,15.0,40,9,0,3,0
QatarAirways2,14.0,40,13,0,2,0
QatarAirways2,13.0,40,13,0,1,0
QatarAirways2,12.0,40,14,0,0,0
AirAsia2,27.0,40,5,0,10,0
AirAsia2,26.0,40,7,0,9,0
AirAsia2,25.0,40,8,0,8,0
AirAsia2,24.0,40,7,0,7,0
AirAsia2,23.0,40,8,0,6,0
AirAsia2,22.0,40,8,0,5,0
AirAsia2,21.0,40,8,0,4,0
AirAsia2,20.0,40,10,0,3,0
AirAsia2,19.0,40,13,0,2,0
AirAsia2,18.0,40,13,0,1,0
AirAsia2,17.0,40,14,0,0,0
TAP2,20.0,40,6,2,10,2
TAP2,19.0,40,8,2,9,2
TAP2,18.0,40,7,2,8,2
TAP2,17.0,40,8,2,7,2
TAP2,16.0,40,8,2,6,2
TAP2,15.0,40,8,2,5,2
TAP2,14.0,40,9,2,4,2
TAP2,13.0,40,13,2,3,2
TAP2,12.0,40,13,2,2,2
TAP2,11.0,40,14,2,1,2
TAP2,10.0,40,11,2,0,2
TAP2,9.0,40,12,2,0,2
TAP2,8.0,40,13,2,0,2
Emirates3,21.0,40,7,1,10,1
Emirates3,20.0,40,7,1,9,1
Emirates3,19.0,40,7,1,8,1
Emirates3,18.0,40,8,1,7,1
Emirates3,17.0,40,8,1,6,1
Emirates3,16.0,40,7,1,5,1
Emirates3,15.0,40,12,1,4,1
Emirates3,14.0,40,13,1,3,1
Emirates3,13.0,40,14,1,2,1
Emirates3,12.0,40,11,1,1,1
Emirates3,11.0,40,12,1,0,1
Emirates3,10.0,40,13,1,0,1
EasyGet2,20.0,40,7,1,10,0
EasyGet2,19.0,40,8,1,9,0
EasyGet2,18.0,40,8,1,8,0
EasyGet2,17.0,40,7,1,7,0
EasyGet2,16.0,40,12,1,6,0
EasyGet2,15.0,40,13,1,5,0
EasyGet2,14.0,40,14,1,4,0
EasyGet2,13.0,40,11,1,3,0
EasyGet2,12.0,40,12,1,2,0
EasyGet2,11.0,40,13,1,1,0
EasyGet2,10.0,40,13,1,0,0
Luftansa3,31.0,40,7,2,10,1
Luftansa3,30.0,40,8,2,9,1
Luftansa3,29.0,40,7,2,8,1
Luftansa3,28.0,40,11,2,7,1
Luftansa3,27.0,40,13,2,6,1
Luftansa3,26.0,40,14,2,5,1
Luftansa3,25.0,40,11,2,4,1
Luftansa3,24.0,40,12,2,3,1
Luftansa3,23.0,40,13,2,2,1
Luftansa3,22.0,40,13,2,1,1
Luftansa3,21.0,40,12,2,0,1
Luftansa3,20.0,40,13,2,0,1
TAP3,16.0,40,7,2,10,0
TAP3,15.0,40,12,2,9,0
TAP3,14.0,40,13,2,8,0
TAP3,13.0,40,14,2,7,0
TAP3,12.0,40,11,2,6,0
TAP3,11.0,40,12,2,5,0
TAP3,10.0,40,13,2,4,0
TAP3,9.0,40,13,2,3,0
TAP3,8.0,40,12,2,2,0
TAP3,7.0,40,13,2,1,0
TAP3,6.0,40,13,2,0,0
AmericanAirlines2,25.0,40,8,1,10,0
AmericanAirlines2,24.0,40,13,1,9,0
AmericanAirlines2,23.0,40,13,1,8,0
AmericanAirlines2,22.0,40,14,1,7,0
AmericanAirlines2,21.0,40,11,1,6,0
AmericanAirlines2,20.0,40,12,1,5,0
AmericanAirlines2,19.0,40,13,1,4,0
AmericanAirlines2,18.0,40,13,1,3,0
AmericanAirlines2,17.0,40,12,1,2,0
AmericanAirlines2,16.0,40,13,1,1,0
AmericanAirlines2,15.0,40,13,1,0,0
EasyGet3,28.0,40,10,1,10,1
EasyGet3,27.0,40,13,1,9,1
EasyGet3,26.0,40,14,1,8,1
EasyGet3,25.0,40,11,1,7,1
EasyGet3,24.0,40,12,1,6,1
EasyGet3,23.0,40,13,1,5,1
EasyGet3,22.0,40,13,1,4,1
EasyGet3,21.0,40,12,1,3,1
EasyGet3,20.0,40,13,1,2,1
EasyGet3,19.0,40,13,1,1,1
EasyGet3,18.0,40,13,1,0,1
EasyGet3,17.0,40,15,1,0,1
QatarAirways4,16.0,40,12,0,10,2
QatarAirways4,15.0,40,13,0,9,2
QatarAirways4,14.0,40,14,0,8,2
QatarAirways4,13.0,40,11,0,7,2
QatarAirways4,12.0,40,12,0,6,2
QatarAirways4,11.0,40,13,0,5,2
QatarAirways4,10.0,40,13,0,4,2
QatarAirways4,9.0,40,12,0,3,2
QatarAirways4,8.0,40,13,0,2,2
QatarAirways4,7.0,40,13,0,1,2
QatarAirways4,6.0,40,13,0,0,2
QatarAirways4,5.0,40,15,0,0,2
QatarAirways4,4.0,40,15,0,0,2
EasyGet3,28.0,40,10,1,10,2
EasyGet3,27.0,40,13,1,9,2
EasyGet3,26.0,40,14,1,8,2
EasyGet3,25.0,40,11,1,7,2
EasyGet3,24.0,40,12,1,6,2
EasyGet3,23.0,40,13,1,5,2
EasyGet3,22.0,40,13,1,4,2
EasyGet3,21.0,40,12,1,3,2
EasyGet3,20.0,40,13,1,2,2
EasyGet3,19.0,40,13,1,1,2
EasyGet3,18.0,40,13,1,0,2
EasyGet3,17.0,40,15,1,0,2
EasyGet3,16.0,40,14,1,0,2
Emirates2,22.0,40,11,1,10,3
Emirates2,21.0,40,13,1,9,3
Emirates2,20.0,40,14,1,8,3
Emirates2,19.0,40,11,1,7,3
Emirates2,18.0,40,12,1,6,3
Emirates2,17.0,40,13,1,5,3
Emirates2,16.0,40,13,1,4,3
Emirates2,15.0,40,12,1,3,3
Emirates2,14.0,40,13,1,2,3
Emirates2,13.0,40,13,1,1,3
Emirates2,12.0,40,13,1,0,3
Emirates2,11.0,40,15,1,0,3
Emirates2,10.0,40,15,1,0,3
Emirates2,9.0,40,15,1,0,3
TAP4,32.0,40,13,0,10,1
TAP4,31.0,40,11,0,9,1
TAP4,30.0,40,12,0,8,1
TAP4,29.0,40,13,0,7,1
TAP4,28.0,40,11,0,6,1
TAP4,27.0,40,12,0,5,1
TAP4,26.0,40,13,0,4,1
